Model,Intercept_CO2,TIME_CO2,TIME_CO2_pvalue,TIME_CO2_r2,Intercept_CH4,TIME_CH4,TIME_CH4_pvalue,TIME_CH4_r2,Date,TimeLog,JarID,Time,T.Air,A.Pressure,Volume,Soil_jar,Area,Label,STAGE_1,STAGE_2,STAGE_3,one_hour,two_min,four_hour,eight_hour,PRE_WET,twenty_four_hour,finalC02_flux,finalCH4_flux,finalC02_flux_byarea,finalCH4_flux_byarea,finalC02flux_gSoil,finalCH4flux_gSoil,finalC02flux_gSoil_hr,finalCH4flux_gSoil_hr
22-july-2024 (Day 7)/TG10-01136-2024-07-22T132100_03,-28639.92919,0.608723496,7.35209083000092e-150,0.996584896,2013.909008,-0.001671992,5.64423224469069e-09,0.247308546,7/22/2024,132100,3,13H 21M 0S,29.33,766.4,160,62.929,27.8,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.004278939,-1.18E-05,0.000153863,-4.23E-07,6.79962974145466e-05,-1.88E-07,0.244786671,-0.000675046
22-july-2024 (Day 7)/TG10-01136-2024-07-22T132500_04,-16633.53771,0.355037344,2.48593680298732e-142,0.995440844,2305.537457,-0.007723522,1.9567957774884e-54,0.867160193,7/22/2024,132500,4,13H 25M 0S,29.33,766.4,160,63.016,27.8,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.002495687,-5.43E-05,8.97406297682821e-05,-1.95E-06,3.96040212009648e-05,-8.62E-07,0.142574476,-0.003102069
22-july-2024 (Day 7)/TG10-01136-2024-07-22T133600_05,-19162.95621,0.401446056,1.47094803542457e-157,0.99745848,2710.97876,-0.015820283,1.15987535783826e-84,0.958322856,7/22/2024,133600,5,13H 36M 0S,29.33,766.4,160,63.071,27.8,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.002821911,-0.000111207,0.000101471,-4.00E-06,4.47418147801684e-05,-1.76E-06,0.161070533,-0.006347532
22-july-2024 (Day 7)/TG10-01136-2024-07-22T134100_06,-19160.28263,0.398696412,1.72375117561029e-150,0.996666463,2701.497507,-0.015568384,4.85758817447926e-87,0.961956695,7/22/2024,134100,6,13H 41M 0S,29.33,766.4,160,63.466,27.8,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.002802582,-0.000109436,0.000100776,-3.94E-06,4.41587936848076e-05,-1.72E-06,0.158971657,-0.006207569
22-july-2024 (Day 7)/TG10-01136-2024-07-22T134800_19,-42144.92967,0.858519101,7.01523135266548e-154,0.997073156,-2056.470221,0.080255072,2.99330781328668e-148,0.996367278,7/22/2024,134800,19,13H 48M 0S,29.33,766.4,160,62.472,27.8,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.006034844,0.000564142,0.000217003,2.02855862566155e-05,9.66007811499552e-05,9.03031758227686e-06,0.347762812,0.032509143
22-july-2024 (Day 7)/TG10-01136-2024-07-22T135300_20,-43410.94795,0.878942568,4.0452329951333e-136,0.994213655,-6203.773981,0.162659267,2.5904238471564e-113,0.986117031,7/22/2024,135300,20,13H 53M 0S,29.33,766.4,160,62.457,27.8,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.006178408,0.001143391,0.000222165,4.11143934689862e-05,9.89225867396769e-05,1.83068511135661e-05,0.356121312,0.065904664
22-july-2024 (Day 7)/TG10-01136-2024-07-22T135700_21,-79059.59889,1.585677286,1.75347354799485e-164,0.998051499,-38.26916034,0.039280288,5.04893055627072e-133,0.993483626,7/22/2024,135700,21,13H 57M 0S,29.33,766.4,160,62.606,27.8,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.011146304,0.000276115,0.000400802,9.92863943586905e-06,0.000178039,4.41036002939015e-06,0.640940076,0.015877296
22-july-2024 (Day 7)/TG10-01136-2024-07-22T140300_22,-55619.65776,1.111224366,1.45629646706493e-147,0.996270218,2307.170558,-0.007387227,4.02409517632576e-49,0.837162172,7/22/2024,140300,22,14H 3M 0S,29.33,766.4,160,57.215,27.8,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.007811201,-5.19E-05,0.000280877,-1.87E-06,0.000136524,-9.07E-07,0.491485163,-0.003265577
22-july-2024 (Day 7)/TG10-01136-2024-07-22T140900_07,-51369.20683,1.019779553,2.40007068207387e-114,0.986656641,1860.863725,0.001418738,1.12373794156574e-06,0.179909683,7/22/2024,140900,7,14H 9M 0S,29.33,766.4,160,62.643,27.8,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.007168402,9.9728286234879e-06,0.000257763,3.58605847662276e-07,0.000114433,1.59201006073909e-07,0.411957397,0.000573124
22-july-2024 (Day 7)/TG10-01136-2024-07-22T143100_08,-71646.99678,1.381935722,1.41579614945671e-112,0.98571847,1819.179368,0.002242211,1.3910564842378e-09,0.264291425,7/22/2024,143100,8,14H 31M 0S,29.33,766.4,160,62.965,27.8,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.00971413,1.57613153542237e-05,0.000349303,5.66749922841557e-07,0.000154278,2.50318674727606e-07,0.555401699,0.000901147
22-july-2024 (Day 7)/TG10-01136-2024-07-22T143600_09,-57138.28546,1.098559651,1.87403305489202e-119,0.98903144,1753.782394,0.003495263,1.13955940875516e-23,0.568887067,7/22/2024,143600,9,14H 36M 0S,29.33,766.4,160,61.917,27.8,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.007722176,2.45694781483582e-05,0.000277676,8.8347638073924e-07,0.000124718,3.96813123186818e-07,0.448985474,0.001428527
22-july-2024 (Day 7)/TG10-01136-2024-07-22T144000_10,-64426.09172,1.230984469,2.94758875795718e-116,0.987599973,1878.419656,0.00112517,0.000106828,0.118047515,7/22/2024,144000,10,14H 40M 0S,29.33,766.4,160,62.317,27.8,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.008653039,7.90922845832105e-06,0.000311148,2.84402317810897e-07,0.000138855,1.2691927497025e-07,0.499878691,0.000456909
22-july-2024 (Day 7)/TG10-01136-2024-07-22T144500_23,-72924.75264,1.383010026,3.67655909928937e-146,0.996064023,1506.855506,0.00807634,2.37087221243462e-54,0.866735071,7/22/2024,144500,23,14H 45M 0S,29.33,766.4,160,62.493,27.8,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.009721682,5.67715359710584e-05,0.000349575,2.04140726253356e-06,0.000155564,9.08446321524945e-07,0.560031607,0.003270407
22-july-2024 (Day 7)/TG10-01136-2024-07-22T145000_24,-48701.50263,0.923254107,2.62534837132025e-157,0.997433823,-14827.12955,0.31391612,2.24227909504977e-177,0.998812,7/22/2024,145000,24,14H 50M 0S,29.33,766.4,160,62.215,27.8,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.00648989,0.002206631,0.000233365,7.93466680485115e-05,0.000104314,3.54678293016154e-05,0.375530081,0.127684185
22-july-2024 (Day 7)/TG10-01136-2024-07-22T145500_25,-132718.1519,2.484150029,1.18419097155557e-98,0.975634323,2060.37283,-0.002298254,1.12358748402773e-11,0.320039315,7/22/2024,145500,25,14H 55M 0S,29.33,766.4,160,62.259,27.8,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.017461996,-1.62E-05,0.000627903,-5.81E-07,0.000280473,-2.60E-07,1.00970439,-0.000936732
22-july-2024 (Day 7)/TG10-01136-2024-07-22T145900_26,-66234.96299,1.238869883,2.58033843079769e-110,0.984424285,1911.528461,0.000483476,0.118381731,0.020199582,7/22/2024,145900,26,14H 59M 0S,29.33,766.4,160,62.125,27.8,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.008708468,3.39852926798556e-06,0.000313142,1.22205295504695e-07,0.000140177,5.47046964665684e-08,0.50463557,0.000196937
22-july-2024 (Day 7)/TG10-01136-2024-07-22T150400_11,-49872.81722,0.930540326,3.67944207882962e-114,0.986561294,1867.219477,0.001293136,0.000110036,0.117635346,7/22/2024,150400,11,15H 4M 0S,29.33,766.4,160,61.761,27.8,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.006541107,9.0899217991242e-06,0.000235207,3.26858029454304e-07,0.00010591,1.47178993201603e-07,0.38127597,0.000529844
22-july-2024 (Day 7)/TG10-01136-2024-07-22T150800_12,-66466.78206,1.230880977,4.88546051453915e-110,0.984257711,1973.392304,-0.000667997,0.027627373,0.039781717,7/22/2024,150800,12,15H 8M 0S,29.33,766.4,160,62.019,27.8,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.008652311,-4.70E-06,0.000311122,-1.69E-07,0.000139511,-7.58E-08,0.50223834,-0.00027282
22-july-2024 (Day 7)/TG10-01136-2024-07-22T151300_13,-22749.13262,0.426145918,5.17999915263278e-83,0.955599642,1749.220818,0.003442094,6.73454156073021e-22,0.538761054,7/22/2024,151300,13,15H 13M 0S,29.33,766.4,160,60.979,27.8,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.002995535,2.41957351647756e-05,0.000107714,8.70037222753527e-07,4.91240427032257e-05,3.96787995289782e-07,0.176846554,0.001428437
22-july-2024 (Day 7)/TG10-01136-2024-07-22T151700_14,-22711.47162,0.423143609,7.15147109109569e-85,0.958657291,1814.970581,0.002242244,1.47866899323312e-09,0.2635582,7/22/2024,151700,14,15H 17M 0S,29.33,766.4,160,61.789,27.8,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.002974431,1.57615476370017e-05,0.000106955,5.66758275332676e-07,4.81385198012591e-05,2.55086627668383e-07,0.173298671,0.000918312
22-july-2024 (Day 7)/TG10-01136-2024-07-22T152200_15,-19893.58914,0.370072305,8.42789980223253e-85,0.958544015,1871.9967,0.001218686,0.000150889,0.113230649,7/22/2024,152200,15,15H 22M 0S,29.33,766.4,160,61.495,27.8,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.002601373,8.56658870900574e-06,9.35409254622453e-05,3.08039867278164e-07,4.23021871696886e-05,1.39305450996109e-07,0.152287874,0.0005015
22-july-2024 (Day 7)/TG10-01136-2024-07-22T152600_16,-23833.4208,0.438405352,7.27158976381494e-83,0.95534804,1836.948406,0.001853903,8.38434503179158e-09,0.242445609,7/22/2024,152600,16,15H 26M 0S,29.33,766.4,160,61.775,27.8,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.003081711,1.30317604756971e-05,0.000110813,4.68599801355524e-07,4.98860542290571e-05,2.1095524849368e-07,0.179589795,0.000759439
22-july-2024 (Day 7)/TG10-01136-2024-07-22T153100_17,-23235.35245,0.426535531,6.10449545106656e-87,0.961811595,1861.467518,0.001394153,9.25126607952124e-06,0.151689754,7/22/2024,153100,17,15H 31M 0S,29.33,766.4,160,61.653,27.8,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.002998274,9.80001023952034e-06,0.000107813,3.52391594373259e-07,4.86314372374418e-05,1.58954312677734e-07,0.175073174,0.000572236
22-july-2024 (Day 7)/TG10-01136-2024-07-22T153600_18,-22855.33834,0.417372347,1.96687144684894e-83,0.956310217,1852.356657,0.001550652,8.40346221964256e-07,0.183739843,7/22/2024,153600,18,15H 36M 0S,29.33,766.4,160,61.837,27.8,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.002933862,1.0900101457675e-05,0.000105497,3.91948991645992e-07,4.7445089509517e-05,1.76271511516972e-07,0.170802322,0.000634577
22-july-2024 (Day 7)/TG10-01136-2024-07-22T154000_27,-94836.13066,1.69408926,2.70466490285287e-107,0.982510327,1965.87774,-0.00048602,0.085759164,0.024401765,7/22/2024,154000,27,15H 40M 0S,29.33,766.4,160,61.987,27.8,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.011908371,-3.42E-06,0.000428205,-1.23E-07,0.000192111,-5.52E-08,0.691598813,-0.000198622
22-july-2024 (Day 7)/TG10-01136-2024-07-22T154400_28,-142353.8604,2.523353184,9.07938715839626e-103,0.979193356,2120.337219,-0.003194425,7.15271580504742e-21,0.520369553,7/22/2024,154400,28,15H 44M 0S,29.33,766.4,160,62.002,27.8,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.017737569,-2.25E-05,0.000637813,-8.07E-07,0.000286081,-3.63E-07,1.029890139,-0.001306409
22-july-2024 (Day 7)/TG10-01136-2024-07-22T154800_29,-116359.5951,2.055883567,2.39864615059965e-106,0.981862523,2028.267959,-0.001532346,4.78801106210582e-06,0.16058731,7/22/2024,154800,29,15H 48M 0S,29.33,766.4,160,62.164,27.8,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.014451555,-1.08E-05,0.000519653,-3.87E-07,0.000232475,-1.74E-07,0.83690879,-0.000625442
22-july-2024 (Day 7)/TG10-01136-2024-07-22T155200_30,-141085.1643,2.481722009,1.54684665483547e-104,0.980558482,2134.150383,-0.003409777,3.85867807948953e-22,0.542993577,7/22/2024,155200,30,15H 52M 0S,29.33,766.4,160,62.75,27.8,35-50,NA,35-50,NA,NA,NA,NA,NA,NA,NA,0.017444929,-2.40E-05,0.00062729,-8.62E-07,0.000278007,-3.82E-07,1.000824612,-0.001376892
22-july-2024 (Day 7)/TG10-01136-2024-07-22T160600_31,-57337.63633,0.999618229,2.12644880888874e-69,0.925155467,1785.813182,0.00263716,2.04445276556057e-14,0.386980747,7/22/2024,160600,31,16H 6M 0S,29.33,766.4,160,60.903,27.8,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.007026681,1.85375590703414e-05,0.000252667,6.66578895014075e-07,0.000115375,3.04378422579206e-07,0.415349845,0.001095762
22-july-2024 (Day 7)/TG10-01136-2024-07-22T161000_32,-53862.48176,0.935881327,2.36633239842128e-69,0.925022103,1962.672589,-0.000417188,0.135596605,0.018465031,7/22/2024,161000,32,16H 10M 0S,29.33,766.4,160,61.491,27.8,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.006578651,-2.93E-06,0.000236557,-1.05E-07,0.000106986,-4.76E-08,0.385148129,-0.000171537
22-july-2024 (Day 7)/TG10-01136-2024-07-22T161400_33,-47361.59368,0.820642447,2.80308537144029e-74,0.937930935,1881.311249,0.0009882,0.001435549,0.081500553,7/22/2024,161400,33,16H 14M 0S,29.33,766.4,160,62.72,27.8,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.005768595,6.94641635965318e-06,0.000207429,2.49781242705976e-07,9.19737723214286e-05,1.10752811856715e-07,0.33110558,0.00039871
22-july-2024 (Day 7)/TG10-01136-2024-07-22T161800_36,-41723.14055,0.720537071,7.0611604220471e-68,0.920659223,1762.515906,0.003007029,2.99122799879194e-19,0.489826786,7/22/2024,161800,36,16H 18M 0S,29.33,766.4,160,58.137,27.8,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.005064918,2.11375001609062e-05,0.000182126,7.60068326533842e-07,8.71203880489189e-05,3.6358085489286e-07,0.313633397,0.001308891
22-july-2024 (Day 7)/TG10-01136-2024-07-22T162300_34,-37000.43368,0.636993378,1.01204425992185e-72,0.934109914,1857.456263,0.001393426,7.55335584945074e-06,0.154436546,7/22/2024,162300,34,16H 23M 0S,29.33,766.4,160,60.518,27.8,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.004477659,9.794900018538e-06,0.000161009,3.52207839573463e-07,7.39888793416835e-05,1.61851019837701e-07,0.266359966,0.000582664
22-july-2024 (Day 7)/TG10-01136-2024-07-22T162800_35,-34655.01646,0.594371035,3.09128202706086e-79,0.948679513,1863.179606,0.001282528,5.04215245262781e-05,0.128465753,7/22/2024,162800,35,16H 28M 0S,29.33,766.4,160,60.803,27.8,35-20,NA,35-20,NA,NA,NA,NA,NA,NA,NA,0.004178051,9.01535902863136e-06,0.000150236,3.24176879850103e-07,6.87145535582126e-05,1.48271615358311e-07,0.247372393,0.000533778
22-july-2024 (Day 7)/TG10-01136-2024-07-22T163300_84,-74.85356331,0.009796435,1.7180282085877e-14,0.388733347,1816.905423,0.002051411,1.95299349522092e-10,0.287502597,7/22/2024,163300,84,16H 33M 0S,29.33,766.4,160,NA,27.8,BLANK,NA,BLANK,NA,NA,NA,NA,NA,NA,NA,6.8862713809566e-05,1.44201146165466e-05,2.47618532217066e-06,5.18522639933353e-07,NA,NA,NA,NA
22-july-2024 (Day 7)/TG10-01136-2024-07-22T163800_85,51.25406114,0.007708953,7.77414422898715e-08,0.214548608,1865.296672,0.00124499,2.84126261725705e-05,0.136370912,7/22/2024,163800,85,16H 38M 0S,29.33,766.4,160,NA,27.8,BLANK,NA,BLANK,NA,NA,NA,NA,NA,NA,NA,5.4189039316821e-05,8.75148579726539e-06,1.94854510308598e-06,3.14688450099439e-07,NA,NA,NA,NA
22-july-2024 (Day 7)/TG10-01136-2024-07-22T164700_83,278.8876195,0.004005585,0.000388212,0.09997693,1825.066925,0.001873532,8.99094660358325e-09,0.241584285,7/22/2024,164700,83,16H 47M 0S,29.33,766.4,160,NA,27.8,BLANK,NA,BLANK,NA,NA,NA,NA,NA,NA,NA,2.81567139419772e-05,1.31697364435294e-05,1.01246723991288e-06,4.73561180997101e-07,NA,NA,NA,NA
23-July-2024 (Day 8)/TG10-01136-2024-07-23T112400_02,-18811.54121,0.471024292,4.01364573830413e-158,0.99763529,2550.978884,-0.014938017,1.9887903989676e-82,0.955760555,7/23/2024,112400,2,11H 24M 0S,31.79,767.8,160,62.698,27.8,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.003290291,-0.000104348,0.000118313,-3.75E-06,5.24784044148139e-05,-1.66E-06,0.188922256,-0.005991464
23-July-2024 (Day 8)/TG10-01136-2024-07-23T113200_01,-8145.948883,0.208208978,1.14055374133228e-131,0.993136115,2093.952269,-0.003754763,1.36513730709641e-17,0.456590474,7/23/2024,113200,1,11H 32M 0S,31.79,767.8,160,63.574,27.8,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.001454422,-2.62E-05,5.22985212011419e-05,-9.43E-07,2.28776229276119e-05,-4.12E-07,0.082359443,-0.001483625
23-July-2024 (Day 8)/TG10-01136-2024-07-23T113600_03,-20315.55532,0.499727894,3.87322683250092e-163,0.997948351,2176.166968,-0.005702182,4.36686372978575e-39,0.76084759,7/23/2024,113600,3,11H 36M 0S,31.79,767.8,160,62.929,27.8,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.003490797,-3.98E-05,0.000125523,-1.43E-06,5.54719922452287e-05,-6.32E-07,0.199699172,-0.002276852
23-July-2024 (Day 8)/TG10-01136-2024-07-23T114000_04,-17241.22195,0.423365533,4.50464854070721e-150,0.996612665,2673.757028,-0.017420999,1.01473797850283e-93,0.970557447,7/23/2024,114000,4,11H 40M 0S,31.79,767.8,160,63.016,27.8,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.002957375,-0.000121693,0.000106342,-4.38E-06,4.69305414497905e-05,-1.93E-06,0.168949949,-0.00695212
23-July-2024 (Day 8)/TG10-01136-2024-07-23T114400_05,-18188.8411,0.443452959,3.2678617925692e-153,0.996997132,2269.797452,-0.007812677,4.22114864610499e-52,0.854730294,7/23/2024,114400,5,11H 44M 0S,31.79,767.8,160,63.071,27.8,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.003097694,-5.46E-05,0.000111388,-1.96E-06,4.91143948883005e-05,-8.66E-07,0.176811822,-0.003116488
23-July-2024 (Day 8)/TG10-01136-2024-07-23T132500_06,-19076.93235,0.40633498,1.0951644079943e-139,0.994953977,2443.189638,-0.010116185,7.07559900981077e-56,0.874302205,7/23/2024,132500,6,13H 25M 0S,31.79,767.8,160,63.466,27.8,25-90,NA,25-90,NA,NA,NA,NA,NA,NA,NA,0.00283841,-7.07E-05,0.000102064,-2.54E-06,4.4723316421391e-05,-1.11E-06,0.161003939,-0.004010336
23-July-2024 (Day 8)/TG10-01136-2024-07-23T132900_07,-38452.61164,0.804910076,4.29082141566312e-122,0.99008827,2399.978873,-0.008971089,1.38271479276936e-40,0.774188671,7/23/2024,132900,7,13H 29M 0S,31.79,767.8,160,62.643,27.8,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.005622615,-6.27E-05,0.00020218,-2.25E-06,8.97564771802117e-05,-1.00E-06,0.323123318,-0.003603276
23-July-2024 (Day 8)/TG10-01136-2024-07-23T133300_08,-79788.51922,1.648653367,3.69174848657583e-114,0.987039401,2181.617687,-0.004700786,2.26112264460419e-25,0.599076171,7/23/2024,133300,8,13H 33M 0S,31.79,767.8,160,62.965,27.8,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.011516494,-3.28E-05,0.000414113,-1.18E-06,0.000182903,-5.21E-07,0.658451178,-0.001875328
23-July-2024 (Day 8)/TG10-01136-2024-07-23T133700_09,-52019.48215,1.074254801,5.78411566205356e-119,0.99257746,2066.005135,-0.002295503,1.65952472091585e-10,0.311219067,7/23/2024,133700,9,13H 37M 0S,31.79,767.8,160,61.917,27.8,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.007504094,-1.60E-05,0.000269834,-5.77E-07,0.000121196,-2.58E-07,0.436305674,-0.000930278
23-July-2024 (Day 8)/TG10-01136-2024-07-23T134100_10,-67881.07834,1.391593158,3.8150040253704e-120,0.989318573,2144.758391,-0.003932444,2.00611629776297e-25,0.596800498,7/23/2024,134100,10,13H 41M 0S,31.79,767.8,160,62.317,27.8,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.009720827,-2.75E-05,0.000349544,-9.88E-07,0.00015599,-4.41E-07,0.561563894,-0.001588652
23-July-2024 (Day 8)/TG10-01136-2024-07-23T134500_11,-52091.3677,1.064068981,1.46424104236061e-112,0.98571046,1830.631524,0.002497084,1.22076126901424e-13,0.368693462,7/23/2024,134500,11,13H 45M 0S,31.79,767.8,160,61.761,27.8,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.007432942,1.74431158542525e-05,0.000267276,6.27224590228424e-07,0.00012035,2.82429297683854e-07,0.433260329,0.001016745
23-July-2024 (Day 8)/TG10-01136-2024-07-23T134900_12,-106232.8809,2.148674699,5.22420006877756e-104,0.980160156,2142.469709,-0.003861695,9.61995584716222e-27,0.616603073,7/23/2024,134900,12,13H 49M 0S,31.79,767.8,160,62.019,27.8,25-50,NA,25-50,NA,NA,NA,NA,NA,NA,NA,0.015009341,-2.70E-05,0.00053971,-9.70E-07,0.000242012,-4.35E-07,0.871243129,-0.001567262
23-July-2024 (Day 8)/TG10-01136-2024-07-23T140400_13,-13730.35634,0.282659085,3.73663828789762e-87,0.962122626,1589.772393,0.007328672,1.19867031894635e-32,0.694044401,7/23/2024,140400,13,14H 4M 0S,31.79,767.8,160,60.979,27.8,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.001974485,5.11936649235947e-05,7.09991102640414e-05,1.84083656683189e-06,3.23797536856951e-05,8.39529426910817e-07,0.116567113,0.003022306
23-July-2024 (Day 8)/TG10-01136-2024-07-23T140800_14,-26518.37222,0.532502345,1.39735768365544e-78,0.947373395,1544.342508,0.008035761,2.44132321312523e-34,0.713205951,7/23/2024,140800,14,14H 8M 0S,31.79,767.8,160,61.789,27.8,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.003719739,5.61329610853125e-05,0.000133755,2.01844520263619e-06,6.02006667853501e-05,9.08462041549669e-07,0.2167224,0.003270463
23-July-2024 (Day 8)/TG10-01136-2024-07-23T141200_15,-21620.51824,0.434668202,1.2406281421127e-81,0.95318705,1590.096047,0.007188662,6.41027425523022e-32,0.685406014,7/23/2024,141200,15,14H 12M 0S,31.79,767.8,160,61.495,27.8,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.003036329,5.02156390409382e-05,0.000109181,1.80566843009487e-06,4.93752174973575e-05,8.1658084463677e-07,0.177750783,0.002939691
23-July-2024 (Day 8)/TG10-01136-2024-07-23T141600_16,-13192.5212,0.268241517,5.09328516127437e-99,0.975974487,1775.411399,0.003578007,3.00408589636622e-23,0.561909435,7/23/2024,141600,16,14H 16M 0S,31.79,767.8,160,61.775,27.8,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.001873773,2.49937895969268e-05,6.7377664535845e-05,8.98733894172125e-07,3.03322217725617e-05,4.04593923058305e-07,0.109195998,0.001456538
23-July-2024 (Day 8)/TG10-01136-2024-07-23T142000_17,-35553.11538,0.699986766,1.81664620117113e-75,0.940696602,1666.118226,0.005486731,1.94799778949361e-27,0.626624575,7/23/2024,142000,17,14H 20M 0S,31.79,767.8,160,61.653,27.8,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.004889684,3.83269807779099e-05,0.000175825,1.37817262775656e-06,7.93097497283182e-05,6.21656379704311e-07,0.285515099,0.002237963
23-July-2024 (Day 8)/TG10-01136-2024-07-23T142400_18,-27914.91739,0.550218547,7.76018537151422e-83,0.955299636,1790.424486,0.003155102,1.58731238171698e-19,0.495142266,7/23/2024,142400,18,14H 24M 0S,31.79,767.8,160,61.837,27.8,25-20,NA,25-20,NA,NA,NA,NA,NA,NA,NA,0.003843494,2.20396297559752e-05,0.000138205,7.92507362674405e-07,6.21552468586768e-05,3.56414925626651e-07,0.223758889,0.001283094
23-July-2024 (Day 8)/TG10-01136-2024-07-23T143500_82,-485.0993698,0.019392726,1.5531842676065e-25,0.59850714,1861.624107,0.001683426,1.38472234111416e-07,0.20717052,7/23/2024,143500,82,14H 35M 0S,31.79,767.8,160,NA,27.8,BLANK,NA,BLANK,NA,NA,NA,NA,NA,NA,NA,0.000135466,1.17593935723349e-05,4.87111977788477e-06,4.22847665312294e-07,NA,NA,NA,NA
23-July-2024 (Day 8)/TG10-01136-2024-07-23T143900_83,-394.2578426,0.01670311,1.31364335768699e-27,0.629056691,1824.824963,0.002240525,5.30360166317022e-11,0.30253432,7/23/2024,143900,83,14H 39M 0S,31.79,767.8,160,NA,27.8,BLANK,NA,BLANK,NA,NA,NA,NA,NA,NA,NA,0.000116678,1.56509532503502e-05,4.19553464201333e-06,5.62781490483647e-07,NA,NA,NA,NA
23-July-2024 (Day 8)/TG10-01136-2024-07-23T145800_19,-63433.36695,1.190708593,6.57563940726308e-148,0.996319317,-20555.67544,0.417811454,3.23492807404911e-111,0.984954047,7/23/2024,145800,19,14H 58M 0S,31.79,767.8,160,62.472,27.8,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.008317569,0.002918578,0.000299086,0.000104947,0.000133141,4.67181777436291e-05,0.479306704,0.16818544
23-July-2024 (Day 8)/TG10-01136-2024-07-23T150700_20,-91014.21737,1.683247372,1.91617525008276e-120,0.989440451,2068.09232,-0.002119185,2.67442552229787e-10,0.283832325,7/23/2024,150700,20,15H 7M 0S,31.79,767.8,160,62.457,27.8,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.011758147,-1.48E-05,0.000422803,-5.32E-07,0.00018826,-2.37E-07,0.677735549,-0.000853067
23-July-2024 (Day 8)/TG10-01136-2024-07-23T151100_21,-112237.6579,2.066195148,1.02066006712926e-137,0.994557842,-292.2400577,0.041120312,1.08164070716294e-131,0.993142179,7/23/2024,151100,21,15H 11M 0S,31.79,767.8,160,62.606,27.8,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.014433189,0.000287242,0.000518993,1.03287165847857e-05,0.00023054,4.58809059834521e-06,0.829944101,0.016517126
23-July-2024 (Day 8)/TG10-01136-2024-07-23T151700_21,-87401.16678,1.601531054,2.93749362488763e-129,0.992470803,2877.779414,-0.016771242,4.84170573149843e-89,0.964768463,7/23/2024,151700,21,15H 17M 0S,31.79,767.8,160,62.606,27.8,35-90,NA,35-90,NA,NA,NA,NA,NA,NA,NA,0.011187326,-0.000117154,0.000402277,-4.21E-06,0.000178694,-1.87E-06,0.643298943,-0.006736645
